idx_simulacao;avg_rmse_media;avg_sim_error_media;correl_bias_media;avg_rmse_mediana;avg_sim_error_mediana;correl_bias_mediana;time_g1;avg_rmse_cascata;avg_sim_error_cascata;correl_bias_cascata;time_g2
130001;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130002;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,2s
130003;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130004;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130005;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130006;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130007;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130008;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130009;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130010;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130011;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130012;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130013;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130014;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130015;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130016;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130017;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130018;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130019;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130020;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130021;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130022;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130023;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130024;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130025;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130026;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130027;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130028;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130029;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130030;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130031;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130032;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130033;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130034;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130035;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130036;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
130037;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,0s
130038;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130039;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,1s
130040;0,106397769;0,008697935;-0,018905896;0,105301208;0,008657426;-0,026448278;0m,0s;0,055662946;0,004791684;0,082212088;0m,3s
