idx_simulacao;avg_rmse_media;avg_sim_error_media;correl_bias_media;avg_rmse_mediana;avg_sim_error_mediana;correl_bias_mediana;time_g1;avg_rmse_cascata;avg_sim_error_cascata;correl_bias_cascata;time_g2
120001;0,229216232;0,014082028;0,183063469;0,209799456;0,012689127;0,152770689;0m,0s;0,076466884;0,00510595;0,060862171;2m,3s
120002;0,094782557;0,007689395;-0,000605517;0,103070618;0,008310204;-0,005959453;0m,0s;0,09289547;0,006990759;0,087663552;3m,30s
120003;0,096512922;0,007533328;0,072343016;0,097646588;0,007245389;0,097035267;0m,0s;0,080038548;0,006620388;0,094416291;3m,48s
120004;0,090282985;0,007672405;0,097068855;0,088877696;0,007384277;0,097682713;0m,0s;0,084155077;0,006875018;0,034298289;294m,36s
120005;0,208854875;0,011597298;0,085285087;0,24419677;0,012864111;0,12916381;0m,0s;0,082025993;0,004063891;0,017283788;1m,55s
120006;0,147387256;0,007243409;0,005961313;0,166621689;0,007269322;0,029811857;0m,0s;0,054860015;0,003202702;-0,021006727;3m,14s
120007;0,173253462;0,011168162;0,108837547;0,197687237;0,011580762;0,134808112;0m,0s;0,062787847;0,003418097;0,037848299;4m,46s
120008;0,098309657;0,008414465;0,211231954;0,101053045;0,008750018;0,235926479;0m,0s;0,120068596;0,008819462;0,271718772;9m,40s
120009;0,172701111;0,019447141;0,141233387;0,182541944;0,0208565;0,16043573;0m,0s;0,054823672;0,004166685;0,028349504;2m,8s
120010;0,243961215;0,016892876;0,243284603;0,209212423;0,013950113;0,202925948;0m,0s;0,093643324;0,005936929;0,069352595;2m,41s
120011;0,102582541;0,008083966;0,098479559;0,104206512;0,00810187;0,123354006;0m,0s;0,125293192;0,009305573;0,026268973;4m,40s
120012;0,234681157;0,013608851;0,087999954;0,257318116;0,014041136;0,0972289;0m,0s;0,08487723;0,004720671;0,030246142;9m,8s
120013;0,151559168;0,014781958;0,124330916;0,154798457;0,014814833;0,123016592;0m,0s;0,065500588;0,005115758;0,045226812;1m,50s
120014;0,222462525;0,011310099;0,073812931;0,252340763;0,012505511;0,088142256;0m,0s;0,08078923;0,003538154;0,023609953;2m,56s
120015;0,107044276;0,008349142;0,10483001;0,1100246;0,008425944;0,116925429;0m,0s;0,114996042;0,007939833;0,121569995;5m,43s
120016;0,135666943;0,011373474;-0,05236434;0,141240774;0,012013906;-0,057920362;0m,0s;0,104496458;0,00784724;0,016731504;8m,20s
120017;0,242210521;0,015683476;0,245542166;0,243658131;0,015926728;0,259515766;0m,0s;0,125050611;0,007366621;0,055374684;1m,30s
120018;0,122789313;0,012337981;0,152521538;0,110576922;0,010694462;0,127745388;0m,0s;0,073129443;0,006273167;0,043253848;2m,19s
120019;0,233888545;0,015525373;0,161331635;0,19038351;0,012290508;0,112247001;0m,0s;0,092756788;0,005270734;0,041886916;4m,0s
120020;0,138945476;0,013862451;0,068276775;0,139635976;0,014120388;0,031409408;0m,0s;0,093692608;0,008541684;0,164886127;7m,55s
120021;0,208972103;0,016208813;0,115928381;0,175664594;0,014770498;0,092554541;0m,0s;0,069000662;0,003363954;0,025748723;1m,37s
120022;0,09673616;0,010796922;-0,031239416;0,108577084;0,012152796;-0,009328049;0m,0s;0,047164073;0,004583352;-0,041336988;2m,35s
120023;0,180309195;0,01130729;0,050105419;0,202662092;0,011656092;0,076060974;0m,0s;0,117481984;0,007372899;0,096164835;3m,45s
120024;0,256243843;0,014648348;0,13017302;0,284254449;0,01599735;0,150898455;0m,0s;0,058896117;0,003540508;0,015256852;8m,34s
120025;0,089714516;0,009366471;0,011666186;0,098971937;0,010416685;0,025033548;0m,0s;0,029577439;0,002569463;0,015667175;2m,18s
120026;0,211069051;0,012900235;0,019467636;0,239641639;0,01396659;0,034926888;0m,0s;0,110163799;0,005860423;0,085143803;2m,41s
120027;0,18174565;0,010845374;-0,015677088;0,182314078;0,010274264;-0,024136581;0m,0s;0,072929124;0,004719886;0,040329991;4m,25s
120028;0,100829723;0,011607486;0,168540504;0,088555237;0,009791685;0,157086796;0m,0s;0,062447757;0,006805574;0,117938844;8m,24s
120029;0,183670736;0,011948248;0,156247052;0,143532262;0,009147853;0,118462626;0m,0s;0,079661834;0,004593945;0,040141964;1m,39s
120030;0,179954812;0,015012519;0,092738273;0,194041693;0,015093003;0,123508846;0m,0s;0,100956033;0,006293568;0,072089814;2m,33s
120031;0,18852046;0,010646772;0,093437312;0,167130859;0,009387965;0,10959177;0m,0s;0,093617793;0,005612856;0,04370605;3m,58s
120032;0,198583918;0,011937825;-0,022174381;0,230173581;0,012967297;-0,009554162;0m,0s;0,085215028;0,004796393;0,065845015;8m,36s
120033;0,182253237;0,010069297;-0,005860663;0,204748877;0,010670922;-0,007246381;0m,0s;0,080966418;0,005069463;0,11543669;1m,35s
120034;0,24154108;0,015837824;0,026749131;0,27999534;0,017583587;0,051711553;0m,0s;0,051378832;0,003146205;0,025190689;2m,20s
120035;0,118505926;0,013356499;0,001035452;0,125193244;0,014131962;0,00823001;0m,0s;0,072855744;0,007152796;0,168260847;3m,57s
120036;0,117103706;0,014566569;-0,055091383;0,123373566;0,015208351;-0,04735064;0m,0s;0,056968477;0,006250018;0,031422242;454m,23s
120037;0,117103706;0,014566569;-0,055091383;0,123373566;0,015208351;-0,04735064;0m,0s;0,056968477;0,006250018;0,031422242;106m,36s
120038;0,117103706;0,014566569;-0,055091383;0,123373566;0,015208351;-0,04735064;0m,0s;0,056968477;0,006250018;0,031422242;4m,0s
120039;0,117103706;0,014566569;-0,055091383;0,123373566;0,015208351;-0,04735064;0m,0s;0,056968477;0,006250018;0,031422242;27m,28s
120040;0,117103706;0,014566569;-0,055091383;0,123373566;0,015208351;-0,04735064;0m,0s;0,056968477;0,006250018;0,031422242;21m,52s
