idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
4110001;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;1
4110002;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;1
4110003;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;1
4110004;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;1
4110005;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;1
4110006;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;1
4110007;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;1
4110008;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;1
4110009;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;1
4110010;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;1
4110011;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;1
4110012;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;1
4110013;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;1
4110014;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;1
4110015;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;1
4110016;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;1
4110017;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;1
4110018;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;1
4110019;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;1
4110020;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;1
4110021;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;lessCorrelation;1
4110022;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;lessMissing;1
4110023;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;moreCorrelation;1
4110024;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;moreMissing;1
4110025;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;noSort;1
4110026;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;lessCorrelation;1
4110027;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;lessMissing;1
4110028;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;moreCorrelation;1
4110029;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;moreMissing;1
4110030;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;noSort;1
4110031;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;1
4110032;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;1
4110033;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;1
4110034;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;1
4110035;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;1
4110036;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;1
4110037;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;1
4110038;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;1
4110039;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;1
4110040;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;1
4110041;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;3
4110042;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;3
4110043;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;3
4110044;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;3
4110045;abalone;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;3
