idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
5110001;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;1
5110002;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;1
5110003;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;1
5110004;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;1
5110005;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;1
5110006;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;1
5110007;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;1
5110008;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;1
5110009;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;1
5110010;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;1
5110011;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;1
5110012;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;1
5110013;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;1
5110014;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;1
5110015;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;1
5110016;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;1
5110017;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;1
5110018;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;1
5110019;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;1
5110020;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;1
5110021;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;lessCorrelation;1
5110022;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;lessMissing;1
5110023;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;moreCorrelation;1
5110024;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;moreMissing;1
5110025;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;noSort;1
5110026;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;lessCorrelation;1
5110027;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;lessMissing;1
5110028;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;moreCorrelation;1
5110029;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;moreMissing;1
5110030;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;noSort;1
5110031;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;1
5110032;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;1
5110033;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;1
5110034;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;1
5110035;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;1
5110036;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;1
5110037;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;1
5110038;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;1
5110039;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;1
5110040;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;1
5110041;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;3
5110042;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;3
5110043;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;3
5110044;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;3
5110045;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;3
5110046;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;3
5110047;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;3
5110048;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;3
5110049;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;3
5110050;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;3
5110051;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;3
5110052;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;3
5110053;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;3
5110054;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;3
5110055;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;3
5110056;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;3
5110057;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;3
5110058;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;3
5110059;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;3
5110060;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;3
5110061;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;lessCorrelation;3
5110062;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;lessMissing;3
5110063;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;moreCorrelation;3
5110064;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;moreMissing;3
5110065;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;noSort;3
5110066;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;lessCorrelation;3
5110067;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;lessMissing;3
5110068;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;moreCorrelation;3
5110069;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;moreMissing;3
5110070;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;noSort;3
5110071;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;3
5110072;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;3
5110073;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;3
5110074;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;3
5110075;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;3
5110076;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;3
5110077;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;3
5110078;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;3
5110079;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;3
5110080;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;3
5110081;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;5
5110082;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;5
5110083;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;5
5110084;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;5
5110085;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;5
5110086;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;5
5110087;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;5
5110088;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;5
5110089;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;5
5110090;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;5
5110091;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;5
5110092;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;5
5110093;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;5
5110094;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;5
5110095;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;5
5110096;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;5
5110097;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;5
5110098;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;5
5110099;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;5
5110100;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;5
5110101;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;lessCorrelation;5
5110102;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;lessMissing;5
5110103;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;moreCorrelation;5
5110104;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;moreMissing;5
5110105;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;noSort;noSort;5
5110106;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;lessCorrelation;5
5110107;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;lessMissing;5
5110108;california;MAR;0,1;som;1;12;0,5;0,7;50;;;;;;;random;moreCorrelation;5
