idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
7110001;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;1
7110002;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;1
7110003;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;1
7110004;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;1
7110005;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;1
7110006;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;1
7110007;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;1
7110008;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;1
7110009;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;1
7110010;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;1
7110011;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;1
7110012;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;1
7110013;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;1
7110014;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;1
7110015;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;1
7110016;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;1
7110017;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;1
7110018;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;1
7110019;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;1
7110020;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;1
7110021;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;lessCorrelation;1
7110022;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;lessMissing;1
7110023;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;moreCorrelation;1
7110024;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;moreMissing;1
7110025;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;noSort;noSort;1
7110026;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;lessCorrelation;1
7110027;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;lessMissing;1
7110028;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;moreCorrelation;1
7110029;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;moreMissing;1
7110030;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;random;noSort;1
7110031;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;1
7110032;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;1
7110033;electric;MAR;0,1;som;1;14;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;1
