idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
6110001;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;1
6110002;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;1
6110003;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;1
6110004;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;1
6110005;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;1
6110006;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;1
6110007;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;1
6110008;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;1
6110009;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;1
6110010;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;1
6110011;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;1
6110012;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;1
6110013;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;1
6110014;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;1
6110015;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;1
6110016;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;1
6110017;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;1
6110018;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;1
6110019;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;1
6110020;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;1
6110021;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;lessCorrelation;1
6110022;gamma;MAR;0,1;som;1;20;0,5;0,7;50;;;;;;;noSort;lessMissing;1
