idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
2110001;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;1
2110002;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;1
2110003;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;1
2110004;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;1
2110005;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;1
2110006;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;1
2110007;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;1
2110008;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;1
2110009;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;1
2110010;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;1
2110011;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;1
2110012;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;1
2110013;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;1
2110014;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;1
2110015;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;1
2110016;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;1
2110017;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;1
2110018;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;1
2110019;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;1
2110020;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;1
2110021;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;lessCorrelation;1
2110022;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;lessMissing;1
2110023;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;moreCorrelation;1
2110024;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;moreMissing;1
2110025;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;noSort;noSort;1
2110026;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;lessCorrelation;1
2110027;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;lessMissing;1
2110028;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;moreCorrelation;1
2110029;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;moreMissing;1
2110030;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;random;noSort;1
2110031;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;1
2110032;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;1
2110033;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;1
2110034;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;1
2110035;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;1
2110036;pima;MAR;0,1;som;1;16;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;1
