idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
1110001;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;1
1110002;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;1
1110003;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;1
1110004;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;1
1110005;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;1
1110006;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;1
1110007;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;1
1110008;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;1
1110009;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;1
1110010;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;1
1110011;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;1
1110012;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;1
1110013;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;1
1110014;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;1
1110015;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;1
1110016;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;1
1110017;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;1
1110018;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;1
1110019;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;1
1110020;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;1
1110021;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;lessCorrelation;1
1110022;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;lessMissing;1
1110023;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;moreCorrelation;1
1110024;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;moreMissing;1
1110025;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;noSort;1
1110026;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;lessCorrelation;1
1110027;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;lessMissing;1
1110028;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;moreCorrelation;1
1110029;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;moreMissing;1
1110030;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;noSort;1
1110031;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;1
1110032;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;1
1110033;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;1
1110034;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;1
1110035;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;1
1110036;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;1
1110037;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;1
1110038;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;1
1110039;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;1
1110040;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;1
1110041;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;3
1110042;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;3
1110043;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;3
1110044;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;3
1110045;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;3
1110046;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;3
1110047;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;3
1110048;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;3
1110049;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;3
1110050;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;3
1110051;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;3
1110052;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;3
1110053;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;3
1110054;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;3
1110055;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;3
1110056;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;3
1110057;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;3
1110058;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;3
1110059;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;3
1110060;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;3
1110061;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;lessCorrelation;3
1110062;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;lessMissing;3
1110063;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;moreCorrelation;3
1110064;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;moreMissing;3
1110065;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;noSort;noSort;3
1110066;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;lessCorrelation;3
1110067;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;lessMissing;3
1110068;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;moreCorrelation;3
1110069;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;moreMissing;3
1110070;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;random;noSort;3
1110071;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;3
1110072;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;3
1110073;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;3
1110074;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;3
1110075;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;3
1110076;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;3
1110077;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;3
1110078;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;3
1110079;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;3
1110080;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;3
1110081;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;5
1110082;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;5
1110083;wine;MAR;0,1;som;1;26;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;5
