idx_simulacao;dados;mec_ausencia;pct_ausencia;cluster_algorithm;dim_x_som;dim_y_som;sigma_som;lr_som;max_iter_som;n_clusters_kmd;n_clusters_aggcl;affinity_aggcl;metric_dbscan;min_samples_dbscan;eps_dbscan;order_cluster;order_column;n_clusters_knn
8110001;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;1
8110002;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;1
8110003;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;1
8110004;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;1
8110005;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;1
8110006;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;1
8110007;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;1
8110008;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;1
8110009;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;1
8110010;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;1
8110011;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;1
8110012;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;1
8110013;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;1
8110014;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;1
8110015;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;1
8110016;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;1
8110017;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;1
8110018;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;1
8110019;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;1
8110020;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;1
8110021;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;lessCorrelation;1
8110022;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;lessMissing;1
8110023;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;moreCorrelation;1
8110024;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;moreMissing;1
8110025;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;noSort;1
8110026;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;random;lessCorrelation;1
8110027;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;random;lessMissing;1
8110028;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;random;moreCorrelation;1
8110029;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;random;moreMissing;1
8110030;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;random;noSort;1
8110031;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleLessMissing;lessCorrelation;1
8110032;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleLessMissing;lessMissing;1
8110033;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleLessMissing;moreCorrelation;1
8110034;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleLessMissing;moreMissing;1
8110035;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleLessMissing;noSort;1
8110036;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleMoreMissing;lessCorrelation;1
8110037;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleMoreMissing;lessMissing;1
8110038;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleMoreMissing;moreCorrelation;1
8110039;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleMoreMissing;moreMissing;1
8110040;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;tupleMoreMissing;noSort;1
8110041;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;lessCorrelation;3
8110042;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;lessMissing;3
8110043;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;moreCorrelation;3
8110044;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;moreMissing;3
8110045;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldLessMissing;noSort;3
8110046;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;lessCorrelation;3
8110047;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;lessMissing;3
8110048;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;moreCorrelation;3
8110049;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;moreMissing;3
8110050;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldMoreMissing;noSort;3
8110051;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessCorrelation;3
8110052;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;lessMissing;3
8110053;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreCorrelation;3
8110054;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;moreMissing;3
8110055;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleLessMissing;noSort;3
8110056;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessCorrelation;3
8110057;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;lessMissing;3
8110058;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreCorrelation;3
8110059;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;moreMissing;3
8110060;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;fieldPerTupleMoreMissing;noSort;3
8110061;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;lessCorrelation;3
8110062;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;lessMissing;3
8110063;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;moreCorrelation;3
8110064;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;moreMissing;3
8110065;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;noSort;noSort;3
8110066;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;random;lessCorrelation;3
8110067;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;random;lessMissing;3
8110068;yellow;MAR;0,1;som;1;22;0,5;0,7;50;;;;;;;random;moreCorrelation;3
